frame,clase,conf,cx,cy,cz,dx,dy,dz,yaw_deg,n_pts,marco
135,silla,0.901,-1.274,5.182,0.05,0.374,0.182,0.078,-28.5,515,mundo
135,silla,0.618,-1.686,3.105,-0.503,0.596,0.174,0.374,-78.7,1248,mundo
138,ventana,0.987,0.761,5.754,1.018,0.667,0.13,0.231,94.6,541,mundo
138,silla,0.931,-0.801,5.146,0.15,0.276,0.267,0.181,-151.1,450,mundo
138,silla,0.569,-1.784,2.662,-0.489,0.246,0.311,0.27,98.7,1150,mundo
141,ventana,0.981,0.785,5.705,0.817,0.313,0.106,0.144,100.3,279,mundo
141,silla,0.98,-0.744,5.116,0.08,0.235,0.163,0.098,-23.7,244,mundo
141,silla,0.592,-1.396,2.721,-0.165,0.397,0.275,0.749,-50.8,2299,mundo
144,silla,0.971,-0.735,5.1,0.082,0.25,0.148,0.116,-9.8,264,mundo
144,ventana,0.938,0.769,5.716,1.033,0.758,0.146,0.298,93.3,613,mundo
144,silla,0.737,-1.739,2.702,-0.445,0.376,0.355,0.445,-98.2,1517,mundo
147,silla,0.947,-0.891,5.243,0.275,0.406,0.124,0.201,167.0,435,mundo
147,ventana,0.947,-0.302,5.945,1.004,0.534,0.105,0.232,94.7,351,mundo
147,silla,0.549,-1.433,2.735,-0.332,0.491,0.399,0.306,95.5,2143,mundo
150,ventana,0.934,0.76,5.75,0.977,0.557,0.105,0.309,96.4,588,mundo
150,silla,0.898,-0.855,5.132,0.176,0.433,0.224,0.372,-152.7,527,mundo
150,silla,0.565,-1.369,2.342,0.148,0.507,0.24,0.3,111.4,1697,mundo
153,ventana,0.955,0.764,5.714,0.839,0.323,0.136,0.188,85.5,303,mundo
153,silla,0.904,-0.742,5.102,0.099,0.251,0.171,0.148,-54.6,336,mundo
153,silla,0.499,-1.435,2.372,0.104,0.624,0.374,0.298,106.5,1964,mundo
156,ventana,0.97,0.759,5.727,1.04,0.673,0.159,0.374,89.6,624,mundo
156,silla,0.914,-1.033,5.283,0.334,0.395,0.074,0.095,-177.8,399,mundo
156,mesa,0.423,-1.518,1.824,0.001,0.897,0.305,1.008,-56.7,5151,mundo
156,silla,0.421,-1.437,2.742,-0.199,0.39,0.312,0.663,156.8,2612,mundo
159,ventana,0.974,0.76,5.722,1.039,0.632,0.12,0.34,94.2,490,mundo
159,silla,0.918,-0.728,5.078,0.087,0.244,0.15,0.139,-19.9,304,mundo
159,silla,0.605,-1.437,2.456,0.124,0.645,0.409,0.369,-92.1,2175,mundo
159,mesa,0.505,-1.531,1.838,0.008,0.922,0.314,1.029,-55.1,5740,mundo
162,ventana,0.974,-1.318,5.852,1.038,0.664,0.104,0.212,93.9,537,mundo
162,silla,0.912,-1.3,5.204,-0.42,0.316,0.159,0.097,-144.9,288,mundo
162,silla,0.616,-1.354,2.474,0.141,0.536,0.313,0.466,121.4,2174,mundo
162,mesa,0.519,-1.523,1.851,0.015,0.928,0.289,0.998,-57.3,5832,mundo
165,ventana,0.975,-0.875,5.44,0.601,0.824,0.175,0.209,174.0,1042,mundo
