epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
51,589.867,0.65854,1.255,0.61379,0.92697,0,0.89307,0.90012,0.93616,0.8094,0.86239,0.8665,0.87344,0.64237,0.57015,1.97564,0.71319,0.91053,0,0.000293181,0.000293181,0.000293181
52,601.214,0.68465,1.29169,0.64265,0.9453,0,0.86046,0.92764,0.93126,0.80348,0.87262,0.83138,0.86218,0.64546,0.57479,2.06561,0.72175,0.91907,0,0.000283665,0.000283665,0.000283665
53,612.348,0.65534,1.23905,0.62116,0.93153,0,0.90334,0.88921,0.93279,0.80837,0.86376,0.84278,0.86295,0.63038,0.57466,1.64566,0.77398,0.92085,0,0.000274148,0.000274148,0.000274148
54,623.901,0.67712,1.2744,0.64186,0.94574,0,0.92814,0.90021,0.93675,0.80952,0.89773,0.86404,0.88532,0.66664,0.54983,2.04144,0.70725,0.91355,0,0.000264632,0.000264632,0.000264632
55,633.152,0.64536,1.29742,0.60624,0.93148,0,0.91998,0.90578,0.93989,0.80325,0.88231,0.86731,0.88152,0.6612,0.56117,2.09558,0.68967,0.90992,0,0.000255116,0.000255116,0.000255116
56,639.891,0.66757,1.27849,0.61528,0.93431,0,0.88187,0.91955,0.93964,0.81747,0.86648,0.83602,0.85998,0.63822,0.54704,2.00737,0.70583,0.89785,0,0.000245599,0.000245599,0.000245599
57,646.957,0.67645,1.32386,0.62793,0.93708,0,0.90408,0.91701,0.94008,0.81649,0.84913,0.86229,0.86186,0.64336,0.54654,1.97247,0.67844,0.8961,0,0.000236083,0.000236083,0.000236083
58,653.914,0.65747,1.29772,0.61771,0.93999,0,0.90613,0.92138,0.93951,0.81425,0.86761,0.86389,0.87301,0.66262,0.55571,2.13969,0.69005,0.9007,0,0.000226567,0.000226567,0.000226567
59,660.757,0.66249,1.2873,0.62364,0.94148,0,0.89634,0.89399,0.93871,0.80879,0.88262,0.83141,0.85145,0.61815,0.57809,2.27658,0.73086,0.9158,0,0.00021705,0.00021705,0.00021705
60,667.96,0.65423,1.2939,0.59575,0.93521,0,0.91089,0.89446,0.93883,0.81086,0.88242,0.85455,0.87582,0.66697,0.5685,2.23421,0.71495,0.91128,0,0.000207534,0.000207534,0.000207534
61,675.46,0.6431,1.26399,0.60597,0.93589,0,0.89493,0.92724,0.94144,0.81632,0.84612,0.88068,0.87251,0.65944,0.56186,1.98114,0.69282,0.91402,0,0.000198018,0.000198018,0.000198018
62,682.262,0.66687,1.28358,0.6031,0.93358,0,0.90406,0.92003,0.93975,0.81956,0.84941,0.86907,0.86025,0.64948,0.55313,2.04882,0.69881,0.91242,0,0.000188501,0.000188501,0.000188501
63,689.097,0.62881,1.22282,0.60076,0.91904,0,0.88566,0.92538,0.93966,0.82053,0.82223,0.85805,0.8503,0.6399,0.55973,2.07851,0.7024,0.91388,0,0.000178985,0.000178985,0.000178985
64,695.783,0.63933,1.24513,0.60547,0.92753,0,0.87891,0.93885,0.93955,0.8266,0.82442,0.88136,0.86074,0.6493,0.54141,2.02618,0.71227,0.90981,0,0.000169468,0.000169468,0.000169468
65,702.937,0.64387,1.22844,0.57731,0.92304,0,0.89137,0.93344,0.94141,0.82425,0.84168,0.88274,0.8708,0.65655,0.54423,2.01556,0.72329,0.90619,0,0.000159952,0.000159952,0.000159952
66,709.712,0.63523,1.20234,0.57321,0.91151,0,0.85557,0.95184,0.93938,0.82174,0.85791,0.84449,0.86426,0.65084,0.53277,2.07148,0.71485,0.89761,0,0.000150436,0.000150436,0.000150436
67,716.988,0.63953,1.21744,0.58281,0.92858,0,0.87676,0.93633,0.93768,0.81851,0.82763,0.88677,0.86867,0.65701,0.54735,2.157,0.70797,0.90719,0,0.000140919,0.000140919,0.000140919
68,725.574,0.60632,1.13809,0.55762,0.91172,0,0.87168,0.93904,0.93446,0.81668,0.83802,0.87444,0.86477,0.64988,0.55057,2.23985,0.70832,0.91257,0,0.000131403,0.000131403,0.000131403
69,737.185,0.61718,1.20319,0.57118,0.91397,0,0.87806,0.9298,0.93005,0.8154,0.83735,0.85827,0.85816,0.64247,0.54416,2.25735,0.70626,0.90139,0,0.000121887,0.000121887,0.000121887
70,749.126,0.61068,1.16481,0.55911,0.91303,0,0.88427,0.92095,0.93208,0.81569,0.84377,0.86449,0.8658,0.64627,0.54057,2.19336,0.70204,0.89934,0,0.00011237,0.00011237,0.00011237
71,780.167,0.56915,1.10096,0.5827,0.90583,0,0.87705,0.93494,0.93437,0.81976,0.86476,0.85034,0.85914,0.63161,0.54532,2.21372,0.72167,0.9018,0,0.000102854,0.000102854,0.000102854
72,789.638,0.54233,1.03282,0.54686,0.89211,0,0.8947,0.93201,0.93347,0.81399,0.86603,0.85885,0.86117,0.63908,0.54947,2.1807,0.70337,0.90617,0,9.33374e-05,9.33374e-05,9.33374e-05
73,799.149,0.52807,1.07989,0.54111,0.88141,0,0.90414,0.92656,0.93359,0.82153,0.86135,0.87337,0.86524,0.64549,0.54686,2.06914,0.68919,0.90826,0,8.3821e-05,8.3821e-05,8.3821e-05
74,809.885,0.53414,1.04231,0.51771,0.89286,0,0.90354,0.91837,0.93395,0.81561,0.86583,0.87812,0.87278,0.6547,0.54419,2.21153,0.7003,0.90335,0,7.43046e-05,7.43046e-05,7.43046e-05
75,819.577,0.53246,1.01811,0.52034,0.88258,0,0.90418,0.92798,0.93755,0.8231,0.85727,0.88047,0.87118,0.65513,0.54063,2.18109,0.69025,0.90067,0,6.47882e-05,6.47882e-05,6.47882e-05
76,829.818,0.52619,1.06918,0.51424,0.88622,0,0.89889,0.9318,0.93781,0.82474,0.85225,0.88707,0.87523,0.65691,0.54522,2.16641,0.68926,0.90349,0,5.52719e-05,5.52719e-05,5.52719e-05
77,839.739,0.51338,0.9905,0.51198,0.87363,0,0.90397,0.92331,0.93925,0.82562,0.85871,0.88062,0.87675,0.66293,0.54058,2.1763,0.67953,0.90289,0,4.57555e-05,4.57555e-05,4.57555e-05
78,849.712,0.50457,1.00826,0.50604,0.87113,0,0.90696,0.9234,0.93979,0.82872,0.86171,0.8801,0.87812,0.66162,0.53799,2.19766,0.67593,0.90318,0,3.62391e-05,3.62391e-05,3.62391e-05
79,860.25,0.50588,1.01669,0.50714,0.88592,0,0.9067,0.92311,0.94049,0.82829,0.86128,0.88059,0.87793,0.65786,0.54187,2.2088,0.68288,0.9056,0,2.67228e-05,2.67228e-05,2.67228e-05
80,870.919,0.51548,1.01145,0.50306,0.88907,0,0.90585,0.92142,0.93999,0.82714,0.86306,0.88146,0.88315,0.65776,0.54351,2.23071,0.6833,0.90607,0,1.72064e-05,1.72064e-05,1.72064e-05
